"schema_type","id","url","name","sameAs","image","author","publisher","completeness_score"
"Organization","True","True","True","True","False","False","True","5"
"ImageObject","True","True","True","True","False","False","True","5"
"WebSite","True","True","True","True","False","False","True","5"
"SearchAction","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
"SiteNavigationElement","True","True","True","True","False","False","True","5"
